,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
538, Balneário Camboriú ,Centro , SC,Apartamento,138.07,4,4,4,3,2590000.0
539, Balneário Camboriú ,Centro , SC,Apartamento duplex,238.68,5,5,5,4,4390000.0
540, Balneário Camboriú ,Centro , SC,Apartamento,188.99,4,4,4,3,4195000.0
541, Balneário Camboriú ,Centro , SC,Apartamento duplex,222.85,5,5,5,4,4255000.0
542, Balneário Camboriú ,Centro , SC,Apartamento,143.43,4,4,4,3,2875000.0
543, Itajaí ,Praia Brava , SC,Apartamento,93.0,2,2,2,1,1125653.14
545, Balneário Camboriú ,Centro , SC,Apartamento,123.0,3,3,3,2,2222000.0
546, Camboriú ,Tabuleiro (Monte Alegre) , SC,Apartamento,72.36,2,1,2,1,589000.0
547, Balneário Camboriú ,Barra Norte , SC,Apartamento,133.52,3,3,3,3,3076000.0
548, Balneário Camboriú ,Centro , SC,Apartamento,137.0,3,3,3,4,2400000.0
549, Balneário Camboriú ,Centro , SC,Apartamento,158.0,2,2,2,2,2400000.0
550, Balneário Camboriú ,Centro , SC,Apartamento,115.16,3,3,3,2,2110000.0
551, Balneário Camboriú ,Centro , SC,Apartamento,127.14,3,1,2,2,1542750.0
555, Balneário Camboriú ,Barra Norte , SC,Apartamento,160.76,4,4,4,3,5920000.0
556, Balneário Camboriú ,Barra Sul , SC,Apartamento,194.25,4,4,4,3,0.0
557, Balneário Camboriú ,Barra Sul , SC,Apartamento,120.54,3,3,4,2,2906000.0
558, Balneário Camboriú ,Centro , SC,Apartamento,152.15,4,2,4,2,2045188.47
559, Balneário Camboriú ,Centro , SC,Apartamento,123.22,3,3,3,2,2203165.12
560, Balneário Camboriú ,Barra Norte , SC,Apartamento,61.12,2,1,2,1,740000.0
561, Balneário Camboriú ,Barra Norte , SC,Apartamento,149.63,4,4,4,2,2850000.0
562, Balneário Camboriú ,Barra Norte , SC,Apartamento,136.69,4,4,4,2,1850000.0
563, Balneário Camboriú ,Barra Sul , SC,Apartamento,160.41,4,4,4,4,6500000.0
564, Itapema ,Meia Praia , SC,Cobertura,427.44,5,5,5,4,14541000.0
565, Itapema ,Meia Praia , SC,Apartamento,213.72,4,4,4,3,3850000.0
566, Balneário Camboriú ,Centro , SC,Apartamento,137.45,4,2,3,3,2100000.0
567, Balneário Camboriú ,Centro , SC,Apartamento,180.0,4,4,4,4,4900000.0
568, Balneário Camboriú ,Centro , SC,Apartamento,123.0,3,3,3,2,2874142.3
569, Itajaí ,Praia Brava , SC,Apartamento,64.61,2,1,2,1,790000.0
570, Balneário Camboriú ,Centro , SC,Apartamento,159.94,3,3,3,3,4500000.0
571, Balneário Camboriú ,Centro , SC,Apartamento,131.77,4,2,3,3,4096000.0
572, Balneário Camboriú ,Barra Norte , SC,Apartamento,145.81,4,4,4,2,4692000.0
